,Country,Year,Prevalence of raised blood pressure,Mean total cholesterol (mmol/L),Mean non-HDL cholesterol (mmol/L),Mean HDL cholesterol (mmol/L),Crude diabetes prevalence,Prevalence of hypertension,Proportion of diagnosed hypertension among all hypertension,Proportion of treated hypertension among all hypertension,Proportion of controlled hypertension among all hypertension,Proportion of untreated stage 2 hypertension among all hypertension,Sex,Continent
0,AFG,1975,0.194816198,0.3349304031530015,0.4121666435198357,0.3202782850403403,0.0311667115645702,0.264886983141516,0.2230043304703174,0.0869238831622579,0.0188460714626566,0.315399380559487,1.0,AS
1,AFG,1975,0.167790415,0.3006098741868507,0.3035721079983071,0.4455217126760117,0.0541874302353275,0.227649169603644,0.3971189292061,0.2854526554889205,0.1127628827583582,0.1764725052142565,0.0,AS
2,AFG,1976,0.195603862,0.557644800848774,0.6351579815807287,0.3611448302403233,0.0855472179651264,0.300281259353645,0.3314907125429009,0.187741958789645,0.0548022457319211,0.285687556943319,1.0,AS
3,AFG,1976,0.169489873,0.3464947981009445,0.288625364113531,0.6294550532758836,0.1018686280022038,0.303286546955278,0.5618534134058755,0.4158942952972038,0.2727521748344306,0.2144109271093084,0.0,AS
4,AFG,1977,0.196406468,0.3128768550634945,0.3746710697499358,0.3074468681772839,0.0450224496184037,0.3001411463137995,0.304741645895675,0.179359976597156,0.0598088153265488,0.276897034220716,1.0,AS
5,AFG,1977,0.171119633,0.242299335250399,0.2395581986425722,0.4539050733184323,0.0298449659972095,0.3379766502501384,0.691150445988168,0.5765153778684745,0.291505448352121,0.1128155924291895,0.0,AS
6,AFG,1978,0.197178235,0.4409136833163235,0.4712186420650959,0.440842847441929,0.0846579062599379,0.3340505541873509,0.445979565001497,0.3079819546762302,0.1625682483466607,0.2545186146060215,1.0,AS
7,AFG,1978,0.172686299,0.5076462105011235,0.5567292898035093,0.4281531451626362,0.0837148299057429,0.2823653581863879,0.505242606687828,0.3474368561389335,0.1121265210112232,0.190690661386276,0.0,AS
8,AFG,1979,0.197852675,0.2380871931680396,0.2727217784573319,0.3483314396503684,0.0253004272263143,0.272664165689105,0.2688611154928615,0.1245247677205615,0.0351226048155682,0.285247014703234,1.0,AS
9,AFG,1979,0.174138547,0.4634153072839231,0.5323928144849998,0.3134490884738004,0.0802745515016533,0.2423982391089715,0.411182914799316,0.3338396921293265,0.115924885927105,0.1930956476082485,0.0,AS
