,Country,Year,Prevalence of raised blood pressure,Mean total cholesterol (mmol/L),Mean non-HDL cholesterol (mmol/L),Mean HDL cholesterol (mmol/L),Crude diabetes prevalence,Prevalence of hypertension,Proportion of diagnosed hypertension among all hypertension,Proportion of treated hypertension among all hypertension,Proportion of controlled hypertension among all hypertension,Proportion of untreated stage 2 hypertension among all hypertension,Sex,Continent
0,AFG,1990,0.200566118,4.29083694548573,3.06908552469325,1.15541418524805,0.036247661399227,0.290697752542468,0.207664989397115,0.128477363360957,0.027128352676138,0.288415105687465,1.0,AS
1,AFG,1990,0.183942049,4.27470059874419,3.07330386772699,1.13992600294398,0.0457136758402326,0.333918340888633,0.423197090092209,0.242999049454561,0.0438766645728641,0.255661425725918,0.0,AS
2,AFG,1991,0.20325883,4.28999512365049,3.07859958909321,1.15017290855888,0.0380151872540547,0.292587674008287,0.213110638271615,0.133275721838452,0.0279071223913643,0.285029445037623,1.0,AS
3,AFG,1991,0.186543594,4.2799065128949,3.08622726548921,1.13869773807439,0.047151668461213,0.335442824142482,0.428055155090188,0.250697533348829,0.0452255085708366,0.251131317913184,0.0,AS
4,AFG,1992,0.206402128,4.2881777630357,3.08681988971605,1.14524701761137,0.0399432273288073,0.294664527449035,0.218798065088388,0.138433848485785,0.028882241879383,0.28182328084579,1.0,AS
5,AFG,1992,0.189412927,4.28431520465318,3.09796144050814,1.13760989989054,0.0486229837397498,0.337094175963892,0.432963829617593,0.258924864856169,0.0468657986050389,0.246803375964789,0.0,AS
6,AFG,1993,0.209526288,4.28547428101884,3.09382259897574,1.14063200379083,0.0418451250588292,0.296836065350673,0.224702581856629,0.143940713375826,0.0300650800784654,0.278780477534506,1.0,AS
7,AFG,1993,0.192270042,4.28776174380474,3.10835975039421,1.13672033056082,0.0500385862585938,0.338849628064722,0.438000821301699,0.267698575672848,0.0488987106830485,0.242626136729997,0.0,AS
8,AFG,1994,0.212353222,4.28168215642946,3.09934346736508,1.13623833730162,0.043580619682006,0.298950135539488,0.23075598794696,0.149809073074329,0.0314698579580268,0.275852892370856,1.0,AS
9,AFG,1994,0.194941637,4.29058952444422,3.11788276012839,1.13601801873622,0.0513530834930787,0.340638653307503,0.443153566108397,0.276952547742303,0.051380692400254,0.238530140712052,0.0,AS
10,AFG,1995,0.214852635,4.27711024010358,3.1037592513503,1.13211003609681,0.0452757553705908,0.30110194419827,0.237040414332518,0.156063929404556,0.0331068937698026,0.272986236789284,1.0,AS
11,AFG,1995,0.19735601,4.29295793771689,3.12674937572321,1.13553578134332,0.0527453078255818,0.342482836839634,0.448463815305669,0.286654861710334,0.0543101477205317,0.234445722864474,0.0,AS
12,AFG,1996,0.217110818,4.27164794889847,3.10691800038399,1.12829351888409,0.0468723261744555,0.301959611929936,0.243065481598136,0.162196253816104,0.0349919559315239,0.269146241188624,1.0,AS
13,AFG,1996,0.199578058,4.29501112013425,3.13511416774856,1.13527291843345,0.0541210208275039,0.343471911587302,0.453790853220144,0.296626115462026,0.0577926320034747,0.229884740907899,0.0,AS
14,AFG,1997,0.219214356,4.26549170844954,3.10916702021841,1.12471240142321,0.0484620069100773,0.30286451720154,0.249236836980957,0.168652193830971,0.0371111503384481,0.26534254504989,1.0,AS
15,AFG,1997,0.20170051,4.29668771051858,3.14290705135258,1.13512854707726,0.0555391016383365,0.34466970126095,0.459430428396229,0.307112886966297,0.0616587897282684,0.225296292598706,0.0,AS
16,AFG,1998,0.221222623,4.25856297155462,3.11047571795559,1.12121991347728,0.0500123875111808,0.303856015094035,0.255575113496752,0.175342959618118,0.0394226779845859,0.261642735955966,1.0,AS
17,AFG,1998,0.203728124,4.29789778771039,3.15008662784816,1.13503173683748,0.0569341949533974,0.346125596625153,0.46522401676671,0.318056225034358,0.0658410927679912,0.220798745863131,0.0,AS
